x y
1 0.498
2 0.291
3 0.431
4 0.502
5 0.505
6 0.626
7 0.554
8 0.581
9 0.633
10 0.583
11 0.609
12 0.518
13 0.558
14 0.541
15 0.604
16 0.57
17 0.597
18 0.55
19 0.6
20 0.644
21 0.672
22 0.594
23 0.632
24 0.66
25 0.549
26 0.631
27 0.355
28 0.496
29 0.593
30 0.633
31 0.618
32 0.6
33 0.632
34 0.371
35 0.702
36 0.68
37 0.593
38 0.639
39 0.641
40 0.708
41 0.652
42 0.729
43 0.737
44 0.729
45 0.695
46 0.735
47 0.684
48 0.688
49 0.721
50 0.596
51 0.598
52 0.703
53 0.61
54 0.663
55 0.654
56 0.648
57 0.659
58 0.625
59 0.706
60 0.646
61 0.684
62 0.666
63 0.766
64 0.727
